CAPEX Asset ID,Asset Name,Manufacturer,Location,Assigned to,Issue Date,Status,Photo URL,GitHub Page URL,Last Inspection,Notes
E676767676767,Turnover Cart,Nanez,Building 67,Racklink,6/8/2026,Active,asset-tag-images/E676767676767.jpg,https://jiasating.github.io/asset-tag/asset.html?id=E676767676767,6/8/2026,Example asset
E030090111,Turnover Cart,Shenyi,Building 5,Testing,6/10/2026,Active,asset-tag-images/Shenyi_Turnover_Cart.jpg,https://jiasating.github.io/asset-tag/asset.html?id=E030090111,6/9/2026,New
E030090110,Turnover Cart,Shenyi,Building 5,Testing,6/10/2026,Active,asset-tag-images/Shenyi_Turnover_Cart.jpg,https://jiasating.github.io/asset-tag/asset.html?id=E030090110,6/9/2026,New
E030090121,Turnover Cart,Shenyi,Building 5,TBD,6/10/2026,Inactive,asset-tag-images/Shenyi_Turnover_Cart.jpg,https://jiasating.github.io/asset-tag/asset.html?id=E030090121,6/9/2026,New
E030090127,Turnover Cart,Shenyi,Building 5,TBD,6/10/2026,Inactive,asset-tag-images/Shenyi_Turnover_Cart.jpg,https://jiasating.github.io/asset-tag/asset.html?id=E030090127,6/9/2026,New
E030090130,Turnover Cart,Shenyi,Building 5,TBD,6/10/2026,Inactive,asset-tag-images/Shenyi_Turnover_Cart.jpg,https://jiasating.github.io/asset-tag/asset.html?id=E030090130,6/9/2026,New
E030090128,Turnover Cart,Shenyi,Building 5,TBD,6/10/2026,Inactive,asset-tag-images/Shenyi_Turnover_Cart.jpg,https://jiasating.github.io/asset-tag/asset.html?id=E030090128,6/9/2026,New
E030090155,Turnover Cart,Shenyi,Building 5,TBD,6/10/2026,Inactive,asset-tag-images/Shenyi_Turnover_Cart.jpg,https://jiasating.github.io/asset-tag/asset.html?id=E030090155,6/9/2026,New
E030090137,Turnover Cart,Shenyi,Building 5,TBD,6/10/2026,Inactive,asset-tag-images/Shenyi_Turnover_Cart.jpg,https://jiasating.github.io/asset-tag/asset.html?id=E030090137,6/9/2026,New
E030090135,Turnover Cart,Shenyi,Building 5,TBD,6/10/2026,Inactive,asset-tag-images/Shenyi_Turnover_Cart.jpg,https://jiasating.github.io/asset-tag/asset.html?id=E030090135,6/9/2026,New
E030090141,Turnover Cart,Shenyi,Building 5,TBD,6/10/2026,Inactive,asset-tag-images/Shenyi_Turnover_Cart.jpg,https://jiasating.github.io/asset-tag/asset.html?id=E030090141,6/9/2026,New
E030090156,Turnover Cart,Shenyi,Building 5,TBD,6/10/2026,Inactive,asset-tag-images/Shenyi_Turnover_Cart.jpg,https://jiasating.github.io/asset-tag/asset.html?id=E030090156,6/9/2026,New
E030090134,Turnover Cart,Shenyi,Building 5,TBD,6/10/2026,Inactive,asset-tag-images/Shenyi_Turnover_Cart.jpg,https://jiasating.github.io/asset-tag/asset.html?id=E030090134,6/9/2026,New
E030090140,Turnover Cart,Shenyi,Building 5,TBD,6/10/2026,Inactive,asset-tag-images/Shenyi_Turnover_Cart.jpg,https://jiasating.github.io/asset-tag/asset.html?id=E030090140,6/9/2026,New
